% Module: Scope, ID: c0p1t6p1cfm0
% Device: DEV7225
% Time: 2026/04/06 19:21:20
% Wave Channel 1, /dev7225/scopes/0/wave.0BWN
% Wave Channel 2, /dev7225/scopes/0/wave.1BWN
% Frequency (Hz); Wave Channel 1  Spectral Density (V/√Hz); Wave Channel 2  Spectral Density (√Hz)
0; 3.22923922539; 
0.447033130519369; 2.29645466805; 
0.8940662610387381; 0.0319728478789; 
1.341099391558107; 0.00743568595499; 
1.788132522077476; 0.00348126981407; 
2.235165652596845; 0.00131352257449; 
2.682198783116214; 0.000600676285103; 
3.129231913635584; 0.000854794750921; 
3.576265044154952; 0.000189065365703; 
4.023298174674322; 0.00047864485532; 
4.470331305193691; 0.000428678555181; 
4.917364435713059; 0.000318843638524; 
5.364397566232428; 0.000195362474187; 
5.811430696751797; 2.9055552659e-05; 
6.258463827271167; 0.000129807944177; 
6.705496957790536; 8.3633531176e-05; 
7.152530088309905; 0.000167928214069; 
7.599563218829274; 0.000306761503452; 
8.046596349348643; 0.000173093227204; 
8.493629479868012; 0.000148345847265; 
8.940662610387381; 0.000216751650441; 
9.38769574090675; 0.000323730026139; 
9.834728871426119; 0.000187405210454; 
10.28176200194549; 6.10539500485e-05; 
10.72879513246486; 0.000104746177385; 
11.17582826298423; 0.00022812433599; 
11.62286139350359; 0.000207377277547; 
12.06989452402297; 0.000199302347028; 
12.51692765454233; 8.71057927725e-05; 
12.9639607850617; 0.000138554169098; 
13.41099391558107; 0.000174484506715; 
13.85802704610044; 0.000114248723548; 
14.30506017661981; 0.00013225285511; 
14.75209330713918; 0.000116516028356; 
15.19912643765855; 7.6038093539e-05; 
15.64615956817792; 3.73231232516e-05; 
16.09319269869729; 0.000100639539596; 
16.54022582921666; 0.000164895813214; 
16.98725895973602; 0.000132794521051; 
17.43429209025539; 0.000114688729809; 
17.88132522077476; 0.000120292468637; 
18.32835835129413; 9.20394159039e-05; 
18.7753914818135; 0.000110431850771; 
19.22242461233287; 0.000188103498658; 
19.66945774285224; 0.000159101691679; 
20.11649087337161; 9.6321287856e-05; 
20.56352400389098; 0.000163283242728; 
21.01055713441034; 0.000142412478453; 
21.45759026492971; 7.50308245188e-05; 
21.90462339544908; 0.000150530730025; 
22.35165652596845; 0.00021783261036; 
22.79868965648782; 0.000141708005685; 
23.24572278700719; 5.94113116676e-05; 
23.69275591752656; 0.000171949184733; 
24.13978904804593; 0.000163118471391; 
24.5868221785653; 8.06095340522e-05; 
25.03385530908467; 8.00143825472e-05; 
25.48088843960404; 0.000158805691171; 
25.92792157012341; 0.000213024555705; 
26.37495470064277; 0.000142588149174; 
26.82198783116214; 5.44749418623e-05; 
27.26902096168151; 0.00010656286031; 
27.71605409220088; 0.000116395662189; 
28.16308722272025; 0.000108647764137; 
28.61012035323962; 0.000127288323711; 
29.05715348375899; 0.000183478638064; 
29.50418661427836; 0.000124434896861; 
29.95121974479773; 5.30697034264e-05; 
30.39825287531709; 6.46600601613e-05; 
30.84528600583646; 0.000122004195873; 
31.29231913635583; 5.20709872944e-05; 
31.7393522668752; 8.14622617327e-05; 
32.18638539739457; 5.13747800142e-05; 
32.63341852791394; 0.000138918461744; 
33.08045165843331; 5.80482883379e-05; 
33.52748478895268; 0.000117686999147; 
33.97451791947205; 0.000119994096167; 
34.42155104999141; 0.000134471105412; 
34.86858418051079; 4.61726667709e-05; 
35.31561731103015; 0.000136662405566; 
35.76265044154952; 9.97234019451e-05; 
36.20968357206889; 1.86376219062e-05; 
36.65671670258826; 4.86753197038e-05; 
37.10374983310763; 5.16619729751e-05; 
37.550782963627; 9.79104879661e-05; 
37.99781609414637; 6.62906895741e-05; 
38.44484922466574; 9.90727930912e-05; 
38.89188235518511; 0.000216640342842; 
39.33891548570448; 0.000175727647729; 
39.78594861622385; 0.000101968085801; 
40.23298174674321; 7.35283028916e-05; 
40.68001487726259; 5.01187314512e-05; 
41.12704800778195; 2.73392706731e-05; 
41.57408113830132; 9.22782783164e-05; 
42.02111426882069; 6.47123961244e-05; 
42.46814739934006; 5.07639342686e-05; 
42.91518052985943; 2.82090513792e-05; 
43.3622136603788; 6.39955978841e-05; 
43.80924679089816; 8.89710718184e-05; 
44.25627992141754; 7.07691142452e-05; 
44.7033130519369; 8.66461195983e-05; 
45.15034618245627; 0.000166986588738; 
45.59737931297564; 0.000162266107509; 
46.04441244349501; 0.000147515995195; 
46.49144557401438; 0.000175308290636; 
46.93847870453375; 0.000165814853972; 
47.38551183505312; 0.000105904910015; 
47.83254496557249; 0.0001045753379; 
48.27957809609186; 4.17151932197e-05; 
48.72661122661123; 9.22717808862e-05; 
49.1736443571306; 3.31931441906e-05; 
49.62067748764996; 4.52178355772e-05; 
50.06771061816934; 0.000102693134977; 
50.5147437486887; 0.000110563218186; 
50.96177687920807; 4.00214266847e-05; 
51.40881000972744; 7.10488675395e-05; 
51.85584314024681; 0.000105902538053; 
52.30287627076618; 0.00011003419786; 
52.74990940128555; 0.000136041184305; 
53.19694253180491; 0.000115246119094; 
53.64397566232429; 1.3007803318e-05; 
54.09100879284365; 2.02396295208e-05; 
54.53804192336302; 1.5482712115e-05; 
54.98507505388239; 4.68590442324e-05; 
55.43210818440176; 6.37629200355e-05; 
55.87914131492113; 2.53733251157e-05; 
56.3261744454405; 7.90462363511e-05; 
56.77320757595987; 0.000117251584015; 
57.22024070647924; 8.08721233625e-05; 
57.66727383699861; 3.72915455955e-05; 
58.11430696751798; 1.09183483801e-05; 
58.56134009803735; 3.93833688577e-05; 
59.00837322855671; 3.72970607714e-05; 
59.45540635907609; 0.00196813978255; 
59.90243948959545; 0.00455677183345; 
60.34947262011482; 0.00260538933799; 
60.79650575063419; 5.17784537806e-05; 
