% Module: Scope, ID: c0p1t8p1cfm0
% Device: DEV7225
% Time: 2026/04/09 21:55:11
% Wave Channel 1, /dev7225/scopes/0/wave.0BWN
% Wave Channel 2, /dev7225/scopes/0/wave.1BWN
% Frequency (Hz); Wave Channel 1  Spectral Density (V/√Hz); Wave Channel 2  Spectral Density (V/√Hz)
0; 0.000341526116244; 
0.4470339831657731; 0.000247586867772; 
0.8940679663315462; 1.62231644936e-05; 
1.341101949497319; 9.05673186935e-06; 
1.788135932663092; 2.45110804826e-05; 
2.235169915828866; 1.46871998368e-05; 
2.682203898994639; 3.55485426553e-05; 
3.129237882160412; 4.17520386691e-05; 
3.576271865326185; 2.06238746614e-05; 
4.023305848491958; 8.90299088496e-06; 
4.470339831657731; 1.1503287169e-05; 
4.917373814823504; 3.30651128024e-05; 
5.364407797989277; 4.86413155159e-05; 
5.81144178115505; 5.84744338994e-05; 
6.258475764320823; 4.03064514103e-05; 
6.705509747486596; 2.26546580961e-05; 
7.152543730652369; 1.08604417619e-05; 
7.599577713818142; 4.15795238951e-06; 
8.046611696983916; 1.4667756659e-05; 
8.493645680149688; 1.77368710865e-05; 
8.940679663315462; 9.47973421717e-06; 
9.387713646481235; 8.77175443748e-06; 
9.834747629647008; 1.4884992197e-05; 
10.28178161281278; 2.12280956475e-05; 
10.72881559597855; 1.36751850732e-05; 
11.17584957914433; 6.19074353381e-06; 
11.6228835623101; 1.14582314836e-06; 
12.06991754547587; 1.15847396955e-05; 
12.51695152864165; 1.87457171705e-05; 
12.96398551180742; 1.47757828017e-05; 
13.41101949497319; 1.08922577056e-05; 
13.85805347813896; 5.51499761059e-06; 
14.30508746130474; 5.24461120222e-06; 
14.75212144447051; 8.85702866071e-06; 
15.19915542763628; 1.0404243767e-05; 
15.64618941080206; 1.00955157905e-05; 
16.09322339396783; 6.73077147439e-06; 
16.5402573771336; 5.22807704328e-06; 
16.98729136029938; 1.25578139887e-06; 
17.43432534346515; 7.98959899839e-06; 
17.88135932663092; 9.85317092272e-06; 
18.3283933097967; 6.68877009957e-06; 
18.77542729296247; 1.48914832607e-05; 
19.22246127612824; 1.46012034747e-05; 
19.66949525929402; 1.53658347699e-05; 
20.11652924245979; 9.01108069229e-06; 
20.56356322562556; 7.26712823962e-06; 
21.01059720879134; 9.23492189031e-06; 
21.45763119195711; 1.0549289982e-05; 
21.90466517512288; 1.12762309072e-05; 
22.35169915828865; 5.08714447278e-06; 
22.79873314145443; 1.20085660456e-05; 
23.2457671246202; 2.31687554333e-05; 
23.69280110778598; 2.15335403482e-05; 
24.13983509095175; 1.06001407403e-05; 
24.58686907411752; 1.07327023215e-05; 
25.03390305728329; 1.04290993477e-05; 
25.48093704044907; 9.94980018731e-06; 
25.92797102361484; 8.43202269607e-06; 
26.37500500678061; 5.99305030846e-06; 
26.82203898994639; 1.53204364324e-05; 
27.26907297311216; 1.80605784408e-05; 
27.71610695627793; 1.3400917851e-05; 
28.1631409394437; 5.10552490596e-06; 
28.61017492260948; 1.10259088615e-05; 
29.05720890577525; 1.00976940303e-05; 
29.50424288894103; 2.68705070994e-06; 
29.9512768721068; 7.01466069586e-06; 
30.39831085527257; 5.17970602232e-06; 
30.84534483843834; 5.05422030983e-06; 
31.29237882160412; 1.68991355167e-05; 
31.73941280476989; 1.78852587851e-05; 
32.18644678793567; 1.15028142318e-05; 
32.63348077110143; 2.12745612771e-06; 
33.08051475426721; 2.39165910898e-06; 
33.52754873743298; 4.78679294247e-06; 
33.97458272059875; 7.40545419831e-06; 
34.42161670376453; 6.05469404036e-06; 
34.8686506869303; 2.94475921692e-06; 
35.31568467009608; 3.44750606018e-06; 
35.76271865326185; 3.3333913052e-06; 
36.20975263642762; 4.67501786261e-06; 
36.65678661959339; 6.67830499879e-06; 
37.10382060275916; 3.70915131498e-06; 
37.55085458592494; 3.07663231069e-06; 
37.99788856909071; 2.39077712649e-06; 
38.44492255225649; 8.61420903675e-06; 
38.89195653542226; 9.64591981756e-06; 
39.33899051858803; 8.35210448713e-06; 
39.78602450175381; 9.27254313865e-06; 
40.23305848491957; 9.02707051864e-06; 
40.68009246808535; 7.38360631658e-06; 
41.12712645125112; 3.93253139919e-06; 
41.5741604344169; 4.61168929178e-06; 
42.02119441758267; 5.10924974151e-06; 
42.46822840074844; 3.73923217012e-06; 
42.91526238391422; 5.77319315198e-06; 
43.36229636707999; 4.55812960354e-06; 
43.80933035024577; 9.31447232233e-07; 
44.25636433341153; 5.12857741342e-06; 
44.70339831657731; 8.04708906799e-06; 
45.15043229974308; 7.07612798578e-07; 
45.59746628290885; 6.86313887854e-06; 
46.04450026607463; 5.75837748329e-06; 
46.4915342492404; 3.79865741706e-06; 
46.93856823240618; 4.4434150368e-06; 
47.38560221557195; 3.20329195347e-06; 
47.83263619873772; 2.79599498754e-06; 
48.27967018190349; 2.87633270091e-06; 
48.72670416506926; 6.55738040223e-06; 
49.17373814823504; 9.06320019567e-06; 
49.62077213140081; 8.01836995379e-06; 
50.06780611456659; 6.94674236001e-06; 
50.51484009773236; 6.48107652523e-06; 
50.96187408089813; 3.6190767787e-06; 
51.40890806406391; 2.93413654617e-06; 
51.85594204722968; 4.45193336418e-06; 
52.30297603039545; 9.04678563529e-06; 
52.75001001356122; 1.89297088582e-06; 
53.197043996727; 6.44523515803e-06; 
53.64407797989277; 8.34086495161e-06; 
54.09111196305854; 1.21119101095e-05; 
54.53814594622432; 9.48078286456e-06; 
54.98517992939009; 3.19414334626e-06; 
55.43221391255586; 2.30936825574e-06; 
55.87924789572163; 2.85249916487e-06; 
56.32628187888741; 5.78413937546e-06; 
56.77331586205318; 3.8650064198e-06; 
57.22034984521895; 2.79851587948e-06; 
57.66738382838473; 3.17916897075e-06; 
58.1144178115505; 5.90122181165e-06; 
58.56145179471628; 3.10999575959e-06; 
59.00848577788205; 3.11608823722e-06; 
59.45551976104782; 4.60615228803e-06; 
59.90255374421359; 4.57497344541e-06; 
60.34958772737937; 1.22367816857e-06; 
60.79662171054514; 2.89170816359e-06; 
61.24365569371091; 2.73852356258e-06; 
61.69068967687669; 5.91240564063e-07; 
62.13772366004246; 7.34251852919e-06; 
62.58475764320823; 9.57211068453e-06; 
63.031791626374; 5.75298327021e-06; 
63.47882560953978; 4.83696885567e-06; 
63.92585959270555; 5.7478441704e-06; 
64.37289357587133; 3.69879921891e-06; 
64.8199275590371; 3.12911583933e-06; 
65.26696154220286; 1.71786939518e-06; 
65.71399552536865; 4.54185646959e-06; 
66.16102950853441; 8.69010091264e-06; 
66.60806349170019; 4.17412866227e-06; 
67.05509747486596; 3.04018135466e-06; 
67.50213145803174; 1.96106566364e-06; 
67.94916544119751; 5.50952381673e-06; 
68.39619942436329; 4.00924182031e-06; 
68.84323340752906; 3.91732555727e-06; 
69.29026739069482; 6.62341744828e-06; 
69.7373013738606; 5.95534493186e-06; 
70.18433535702637; 5.52714527657e-06; 
70.63136934019215; 3.2056211694e-06; 
71.07840332335792; 3.24033999277e-06; 
71.5254373065237; 3.5707726056e-06; 
71.97247128968947; 2.333528073e-06; 
72.41950527285525; 1.8977613081e-06; 
72.86653925602101; 5.07933691551e-06; 
73.31357323918678; 5.28690361534e-06; 
73.76060722235256; 4.23363917434e-06; 
74.20764120551833; 5.17336548e-06; 
74.65467518868411; 7.09921096131e-06; 
75.10170917184988; 6.5273106884e-06; 
75.54874315501566; 5.91738807998e-06; 
75.99577713818142; 4.43848648501e-06; 
76.44281112134719; 7.32350258659e-07; 
76.88984510451297; 1.85155488452e-06; 
77.33687908767874; 3.77105106963e-06; 
77.78391307084452; 3.95140341425e-06; 
78.23094705401029; 2.83448184746e-06; 
78.67798103717607; 4.71599923912e-06; 
79.12501502034183; 3.06108063342e-06; 
79.57204900350762; 2.3805357614e-06; 
80.01908298667338; 5.30145189259e-06; 
80.46611696983915; 4.45145133199e-06; 
80.91315095300493; 3.02491139337e-06; 
81.3601849361707; 4.54141172668e-06; 
81.80721891933648; 5.41027156942e-06; 
82.25425290250224; 5.54229791305e-06; 
82.70128688566803; 6.59295801597e-06; 
83.14832086883379; 5.85324050917e-06; 
83.59535485199957; 4.92721437695e-06; 
84.04238883516534; 6.05860077485e-06; 
84.48942281833111; 7.54363190936e-06; 
84.93645680149689; 4.55287818113e-06; 
85.38349078466265; 3.74622277377e-06; 
85.83052476782844; 5.17592661708e-06; 
86.2775587509942; 7.56807366997e-06; 
86.72459273415998; 8.52996527101e-06; 
87.17162671732575; 6.1565588112e-06; 
87.61866070049153; 4.11078781326e-06; 
88.0656946836573; 3.39305779562e-06; 
88.51272866682307; 3.48788512383e-06; 
88.95976264998885; 3.98139491153e-06; 
89.40679663315461; 2.71088720183e-06; 
89.85383061632039; 5.36520155947e-06; 
90.30086459948616; 7.48069533074e-06; 
90.74789858265194; 4.48188075097e-06; 
91.19493256581771; 4.1223165681e-06; 
91.64196654898348; 3.20942058352e-06; 
92.08900053214926; 3.42328326042e-06; 
92.53603451531502; 1.84130976777e-06; 
92.9830684984808; 1.98465954782e-06; 
93.43010248164657; 3.37185133503e-06; 
93.87713646481235; 1.95926145352e-06; 
94.32417044797812; 2.65825542556e-06; 
94.7712044311439; 5.27819565832e-06; 
95.21823841430967; 2.80997710433e-06; 
95.66527239747543; 4.84748352392e-06; 
96.11230638064121; 5.59022146263e-06; 
96.55934036380698; 3.32798686031e-06; 
97.00637434697276; 2.51798223871e-06; 
97.45340833013853; 1.87236389593e-06; 
97.90044231330431; 5.76495358473e-06; 
98.34747629647008; 6.84013912178e-06; 
98.79451027963586; 3.64519337381e-06; 
99.24154426280163; 2.55881332123e-06; 
99.68857824596739; 6.42234408588e-06; 
100.1356122291332; 6.81761730448e-06; 
100.5826462122989; 5.09917936142e-06; 
101.0296801954647; 1.45609385527e-06; 
101.4767141786305; 2.91809055852e-06; 
101.9237481617963; 9.14052975531e-07; 
102.370782144962; 9.85463088909e-07; 
102.8178161281278; 6.40014548026e-07; 
103.2648501112936; 8.58414864524e-07; 
103.7118840944594; 1.94235076378e-06; 
104.1589180776251; 1.48316303239e-06; 
104.6059520607909; 3.90391824112e-06; 
105.0529860439567; 3.71817691303e-06; 
105.5000200271224; 5.1641313803e-06; 
105.9470540102882; 3.57382737093e-06; 
106.394087993454; 8.24960261525e-06; 
106.8411219766198; 6.03151374889e-06; 
107.2881559597855; 4.12229655922e-06; 
107.7351899429513; 6.7116604896e-07; 
108.1822239261171; 1.34338870339e-06; 
108.6292579092829; 2.37869016928e-06; 
109.0762918924486; 2.18913965e-06; 
109.5233258756144; 3.22434493683e-06; 
109.9703598587802; 2.73504610959e-06; 
110.417393841946; 5.18547096817e-07; 
110.8644278251117; 3.35151230502e-06; 
111.3114618082775; 6.88571844876e-06; 
111.7584957914433; 6.55759731671e-06; 
112.205529774609; 4.26825408795e-06; 
112.6525637577748; 1.85164105915e-06; 
113.0995977409406; 1.97314420802e-06; 
113.5466317241064; 3.56192867912e-06; 
113.9936657072721; 2.98598047266e-06; 
114.4406996904379; 2.31905983128e-06; 
114.8877336736037; 3.58707370651e-06; 
115.3347676567695; 2.84877705781e-06; 
115.7818016399352; 2.34042545344e-06; 
116.228835623101; 2.45346723204e-06; 
116.6758696062668; 6.07173024036e-06; 
117.1229035894326; 9.37709592108e-06; 
117.5699375725983; 8.08360073279e-06; 
118.0169715557641; 2.09936524698e-06; 
118.4640055389299; 3.3275896385e-06; 
118.9110395220956; 3.5209266116e-06; 
119.3580735052614; 1.41552197874e-06; 
119.8051074884272; 3.05014532387e-06; 
120.252141471593; 2.15461045627e-06; 
120.6991754547587; 1.31978515583e-06; 
121.1462094379245; 3.78032791559e-06; 
121.5932434210903; 5.24038068761e-06; 
122.0402774042561; 4.11693963542e-06; 
122.4873113874218; 1.16412024909e-06; 
122.9343453705876; 7.99015253961e-07; 
123.3813793537534; 1.30645400986e-06; 
