Type;FSVA3030;
Version;2.20SP2;
Date;07.Apr 2026;
Mode;ANALYZER;
Preamplifier;ON;
Transducer;OFF;
Center Freq;2500000.000000;Hz
Freq Offset;0.000000;Hz
Start;0.000000;Hz
Stop;5000000.000000;Hz
Span;5000000.000000;Hz
Ref Level;0.000078;V
Level Offset;0.000000;dB
Rf Att;0.000000;dB
El Att;0.000000;dB
RBW;1.000000;Hz
VBW;50000.000000;Hz
SWT;58.600000;s
Sweep Count;0;
Window;1;Frequency Sweep
Ref Position;93.000000;%
Level Range;120.000000;dB
x-Axis;LIN;
y-Axis;LOG;
x-Unit;Hz;
y-Unit;V;
Trace;1;
Trace Mode;CLR/WRITE;
Detector;RMS;
Values;15000;
0;1.0144078714802162722e-06;
333.35555703713578168;2.6521941975943263969e-08;
666.71111407427156337;1.4785461743826999736e-08;
1000.0666711114073451;1.4450710850155701337e-08;
1333.4222281485431267;2.2454839765373435512e-08;
1666.7777851856790221;3.6454149920928102802e-08;
2000.1333422228149175;4.3269096750009339303e-08;
2333.4888992599508128;5.6794068115095797111e-08;
2666.8444562970867082;6.596943791237208643e-08;
3000.2000133342226036;6.5999927301163552329e-08;
3333.555570371358499;6.9403206737206346588e-08;
3666.9111274084943943;6.702710209083306836e-08;
4000.2666844456302897;6.5997838305520417634e-08;
4333.6222414827661851;6.1745694779347104486e-08;
4666.9777985199016257;5.8841926886543660657e-08;
5000.3333555570370663;5.4847049568707006983e-08;
5333.6889125941725069;5.3902457608501208597e-08;
5667.0444696313079476;5.6352011057470008382e-08;
6000.4000266684433882;5.8582731554679412511e-08;
6333.7555837055788288;5.394205260245144018e-08;
6667.1111407427142694;4.9678153146714976174e-08;
7000.4666977798497101;5.0860212041925478843e-08;
7333.8222548169851507;4.8434912969241850078e-08;
7667.1778118541205913;5.0276835139584363787e-08;
8000.5333688912560319;4.8717115674890010268e-08;
8333.8889259283914726;4.8189971124656949542e-08;
8667.2444829655269132;4.6399474484815073083e-08;
9000.6000400026623538;4.9817110436833900167e-08;
9333.9555970397977944;4.675236553453032684e-08;
9667.311154076933235;4.6311360080153463059e-08;
10000.666711114068676;4.8913065597844251897e-08;
10334.022268151204116;4.7409475456561267492e-08;
10667.377825188339557;4.8216815429213966127e-08;
11000.733382225474998;4.6261192210295121185e-08;
11334.088939262610438;4.4378491992347335326e-08;
11667.444496299745879;4.3263849391905750963e-08;
12000.800053336881319;4.4093138029666079092e-08;
12334.15561037401676;4.5560252459608818754e-08;
12667.511167411152201;4.4545956257024954539e-08;
13000.866724448287641;4.522199503753654426e-08;
13334.222281485423082;4.2451649306940453243e-08;
13667.577838522558523;4.321439917021052679e-08;
14000.933395559693963;4.2585874382439214969e-08;
14334.288952596829404;4.0830723690987724694e-08;
14667.644509633964844;4.0866819261964337784e-08;
15001.000066671100285;4.2389128651620922028e-08;
15334.355623708235726;4.2212711548472725553e-08;
15667.711180745371166;4.5256804526161431568e-08;
16001.066737782506607;3.9400635643005443853e-08;
16334.422294819642048;4.0051602923085738439e-08;
16667.777851856779307;4.0344168894534959691e-08;
17001.133408893914748;4.0496907161013950827e-08;
17334.488965931050188;4.0230364817261943244e-08;
17667.844522968185629;4.261708497210747737e-08;
18001.20008000532107;3.8050771422604157124e-08;
18334.55563704245651;3.9248583050266461214e-08;
18667.911194079591951;3.8765964660569807165e-08;
19001.266751116727391;3.7244134887259860989e-08;
19334.622308153862832;3.9378285521252109902e-08;
19667.977865190998273;3.6942818582019754103e-08;
20001.333422228133713;3.954820471108178026e-08;
20334.688979265269154;3.8797100643250814755e-08;
20668.044536302404595;3.8849478301017370541e-08;
21001.400093339540035;3.8959516501790858456e-08;
21334.755650376675476;3.8382353295673965476e-08;
21668.111207413810916;3.8132409230229313835e-08;
22001.466764450946357;3.7583806289376298082e-08;
22334.822321488081798;3.6678528658740106039e-08;
22668.177878525217238;3.7844046119062113576e-08;
23001.533435562352679;3.4688746097799594281e-08;
23334.88899259948812;3.6634673961088992655e-08;
23668.24454963662356;3.7553181897465037764e-08;
24001.600106673759001;4.035359779663849622e-08;
24334.955663710894441;3.4368053292155309464e-08;
24668.311220748029882;3.537994430757862574e-08;
25001.666777785165323;3.4678571125823509647e-08;
25335.022334822300763;3.7068417668706388213e-08;
25668.377891859436204;3.7291467691602520063e-08;
26001.733448896571645;3.5068321579956318601e-08;
26335.089005933707085;3.2959178497549146414e-08;
26668.444562970842526;3.5361242822773419903e-08;
27001.800120007977966;3.4801299619857672951e-08;
27335.155677045113407;3.5292107014583962155e-08;
27668.511234082248848;3.4595146303217916284e-08;
28001.866791119384288;3.7092519278303370811e-08;
28335.222348156519729;3.548682414589166001e-08;
28668.57790519365517;3.2964734941742790397e-08;
29001.93346223079061;3.4177134011770249344e-08;
29335.289019267926051;3.3554435674432170345e-08;
29668.644576305061491;3.8071565455766176456e-08;
30002.000133342196932;3.8705607607880665455e-08;
30335.355690379332373;3.4765125889180126251e-08;
30668.711247416467813;3.5685495447523862822e-08;
31002.066804453603254;3.1518453624812536873e-08;
31335.422361490738695;3.6559647753620083677e-08;
31668.777918527874135;3.43548336445564928e-08;
32002.133475565009576;3.1755824636547913542e-08;
32335.489032602145016;3.2228474111661853385e-08;
32668.844589639280457;3.3467838278511408134e-08;
33002.200146676419536;3.2018601103800392593e-08;
33335.555703713558614;3.4274236782039224636e-08;
33668.911260750697693;3.4146768967957541463e-08;
34002.266817787836771;3.8542218305792630417e-08;
34335.62237482497585;3.4750346600276316167e-08;
34668.977931862114929;3.7413123266105685616e-08;
35002.333488899254007;3.8257816470377292717e-08;
35335.689045936393086;6.0360143550042266725e-08;
35669.044602973532164;6.9128446966715273447e-08;
36002.400160010671243;7.7242624740847531939e-08;
36335.755717047810322;8.3592915700592129724e-08;
36669.1112740849494;7.7215226212956622476e-08;
37002.466831122088479;9.6555424988764571026e-08;
37335.822388159227557;7.7212376936586224474e-08;
37669.177945196366636;7.0744846425441210158e-08;
38002.533502233505715;5.564334060181863606e-08;
38335.889059270644793;4.8248676165485449019e-08;
38669.244616307783872;4.5598845588301628595e-08;
39002.60017334492295;5.1518732391286903294e-08;
39335.955730382062029;6.6262714426557067782e-08;
39669.311287419201108;7.6408170457398227882e-08;
40002.666844456340186;8.1329730505785846617e-08;
40336.022401493479265;9.205059825490025105e-08;
40669.377958530618344;7.7596375547273055417e-08;
41002.733515567757422;8.4761566654378839303e-08;
41336.089072604896501;7.2491559421905549243e-08;
41669.444629642035579;7.0687207198716350831e-08;
42002.800186679174658;6.7895662425598857226e-08;
42336.155743716313737;4.9826301307120957063e-08;
42669.511300753452815;3.6411332615671199164e-08;
43002.866857790591894;3.147147964455143665e-08;
43336.222414827730972;2.9524930056368248188e-08;
43669.577971864870051;2.8603864166143466718e-08;
44002.93352890200913;2.9343848240159786656e-08;
44336.289085939148208;2.8011660546667371818e-08;
44669.644642976287287;2.8380028993524319958e-08;
45003.000200013426365;2.7616763986770820338e-08;
45336.355757050565444;2.8455762191015310236e-08;
45669.711314087704523;2.8500837245815091592e-08;
46003.066871124843601;2.69973376987309166e-08;
46336.42242816198268;2.7682920844540603866e-08;
46669.777985199121758;2.6537742670029729197e-08;
47003.133542236260837;2.6710749168046277191e-08;
47336.489099273399916;2.8109905514384081471e-08;
47669.844656310538994;2.927835041077742062e-08;
48003.200213347678073;2.8312802768937217479e-08;
48336.555770384817151;2.9156653980066948861e-08;
48669.91132742195623;2.765089135436937795e-08;
49003.266884459095309;2.709492896713072696e-08;
49336.622441496234387;2.668265786098800163e-08;
49669.977998533373466;2.6349278314796720224e-08;
50003.333555570512544;2.6359787241858612106e-08;
50336.689112607651623;2.672159205019397632e-08;
50670.044669644790702;2.5716142104670325352e-08;
51003.40022668192978;2.4703959766725347436e-08;
51336.755783719068859;2.6946164410901474184e-08;
51670.111340756207937;2.7562528259750251891e-08;
52003.466897793347016;2.8281386121875584649e-08;
52336.822454830486095;2.5418227522777669947e-08;
52670.178011867625173;2.5222067989716379088e-08;
53003.533568904764252;2.7112355027725243417e-08;
53336.88912594190333;2.7939908164853477501e-08;
53670.244682979042409;2.6308205391956107633e-08;
54003.600240016181488;2.6532381625088419241e-08;
54336.955797053320566;2.8263654527904691349e-08;
54670.311354090459645;2.6470043934523346252e-08;
55003.666911127598723;2.7775083566439207061e-08;
55337.022468164737802;2.5715872098430736514e-08;
55670.378025201876881;2.6161554700365741155e-08;
56003.733582239015959;2.5782819434994053154e-08;
56337.089139276155038;2.4819625465966055344e-08;
56670.444696313294116;2.4368874917968241789e-08;
57003.800253350433195;2.6130919650313444436e-08;
57337.155810387572274;2.6598696578616909392e-08;
57670.511367424711352;2.4379321672540754662e-08;
58003.866924461850431;2.5389709890077938326e-08;
58337.222481498989509;2.4774930551529905642e-08;
